,
,
03300,03300
,
,
,
02500,02500
,
0300,0300
04800,04800
02000,02000
,
,
,
01200,01200
,
,
03500,03500
,
,
,
03000,03000
,
0500,0500
,
DSAhelp,DSAstruggling
,
0000,0000
04500,04500
01400,01400
,
,
04000,04000
,
,
,
,
,
,
,
,
,
0200,0200
04700,04700
01600,01600
,
,
04200,04200
01100,01100
,
,
03400,03400
,
0900,0900
,
,
,
,
04900,04900
02100,02100
,
12,twelve
04400,04400
01300,01300
,
,
03600,03600
,
,
,
03100,03100
,
0600,0600
,
02300,02300
,
0100,0100
04600,04600
01500,01500
,
,
04100,04100
01000,01000
